S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Alert Notice,Disso-Avg (Avg % dissolved in 30mins: 85% (Q),Disso - Min,Disso-Stage,DS -UNIT 01,DS - UNIT 02,DS - UNIT 03,DS - UNIT 04,DS - UNIT 05,DS - UNIT 06,DS - UNIT 07,DS - UNIT 08,DS - UNIT 09,DS - UNIT 10,DS - UNIT 11,DS - UNIT 12,Acceptance Value (<=15.0),CU - Percent of Label,CU - Std Deviation,Potency Assay (289.8 - 315.0 mg (mg/capsule),Total Impurities (<=0.05%),NUMBER CRITICAL,NUMBER MAJOR,NUMBER MINOR,NUMBER NONCRITICAL,TOTAL NUMBER DEFECTS
80,3C5008P-CHEM-0101015,3C5008P,3/14/2013,1106588A1,NO,102,101,S1,103,101,102,102,101,104,,,,,,,2.6,101.5,1.1,203.1,<0.05,0,0,0,0,0
81,3C5087P-CHEM-0104156,3C5087P,3/19/2013,1106588A1,NO,103,102,S1,102,102,103,105,104,104,,,,,,,2.8,101.9,1.1,205.1,0.06,0,0,0,0,0
82,3C5047P-CHEM-0101483,3C5047P,3/20/2013,1106588A1,NO,102,101,S1,101,103,102,103,103,101,,,,,,,3.7,102.3,1.2,204.6,0.07,0,0,0,0,0
83,3C5048P-CHEM-0101487,3C5048P,3/20/2013,1106588A1,NO,102,100,S1,102,101,100,103,103,104,,,,,,,2.5,101.8,0.9,203.6,0.06,0,0,2,0,2
84,3C5009P-CHEM-0101019,3C5009P,3/21/2013,1106588A1,NO,103,102,S1,102,104,105,102,105,103,,,,,,,3,102.6,0.7,203.8,0.06,0,0,0,0,0
85,3C5088P-CHEM-0104160,3C5088P,3/22/2013,1106588A1,NO,102,99,S1,99,102,101,102,102,105,,,,,,,2.9,102.2,0.9,204.3,0.07,0,0,0,0,0
86,3C5123P-CHEM-0105312,3C5123P,4/1/2013,1106588A1,NO,102,99,S1,102,103,104,99,102,103,,,,,,,1.4,101.5,0.6,203.1,0.07,0,0,0,1,1
87,3C5124P-CHEM-0105316,3C5124P,4/2/2013,1106588A1,YES,102,97,S1,97,103,104,102,100,104,,,,,,,2.4,101.2,1,202.4,0.06,0,0,0,0,0
88,3D5016P-CHEM-0105830,3D5016P,4/16/2013,1106588A1,NO,100,97,S1,97,100,102,99,102,102,,,,,,,3.1,100.6,1.3,201.2,<0.05,0,1,0,0,1
89,3D5070P-CHEM-0107869,3D5070P,4/29/2013,1106588A1,YES,102,99,S1,99,104,101,104,102,101,,,,,,,3.8,100.8,1.6,201.5,<0.05,0,0,1,0,1
