S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Alert Notice,Disso-Avg (Avg % dissolved in 30mins: 85% (Q),Disso - Min,Disso-Stage,DS -UNIT 01,DS - UNIT 02,DS - UNIT 03,DS - UNIT 04,DS - UNIT 05,DS - UNIT 06,DS - UNIT 07,DS - UNIT 08,DS - UNIT 09,DS - UNIT 10,DS - UNIT 11,DS - UNIT 12,CU - Acceptance Value (<=15.0),CU - Percent of Label,CU - Std Deviation,Potency Assay (289.8 - 315.0 mg (mg/capsule),Total Impurities (<=0.05%),NUMBER CRITICAL,NUMBER MAJOR,NUMBER MINOR,NUMBER NONCRITICAL,Total Number Defects
123,2G5019P-CHEM-0073311,2G5019P,,1196782A1,NO,100,98,S1,100,98,99,100,100,101,,,,,,,2.2,100.3,0.9,300.9,<0.05,0,0,0,0,0
124,2G5020P-CHEM-0073315,2G5020P,,1196782A1,NO,98,93,S1,100,98,100,99,93,99,,,,,,,1.7,100.6,0.7,301.8,<0.05,0,0,0,0,0
125,2G5021P-CHEM-0073319,2G5021P,,1196782A1,NO,101,100,S1,102,100,101,101,102,102,,,,,,,3.3,101.9,1.2,305.6,<0.05,0,0,0,0,0
126,2G5022P-CHEM-0073323,2G5022P,,1196782A1,NO,99,98,S1,98,101,99,98,101,100,,,,,,,3.1,100.6,1.3,301.7,<0.05,0,0,0,0,0
127,2G5023P-CHEM-0073327,2G5023P,,1196782A1,NO,101,98,S1,98,101,103,102,100,101,,,,,,,3.9,102,1.4,306.1,<0.05,0,0,0,0,0
128,2G5024P-CHEM-0073331,2G5024P,,1196782A1,NO,100,99,S1,101,101,101,99,99,99,,,,,,,2.7,101.6,1.1,304.7,<0.05,0,0,0,0,0
129,2G5025P-CHEM-0073335,2G5025P,,1196782A1,NO,99,96,S1,100,98,100,100,99,96,,,,,,,3.1,101.3,1.3,303.9,<0.05,0,0,0,0,0
130,2G5026P-CHEM-0073339,2G5026P,,1196782A1,NO,98,95,S1,97,98,99,101,95,97,,,,,,,2.9,101.3,1.2,303.9,<0.05,0,0,0,0,0
131,2G5027P-CHEM-0073343,2G5027P,,1196782A1,NO,100,98,S1,100,101,98,98,100,101,,,,,,,3.8,102.2,1.3,306.6,<0.05,0,0,0,0,0
132,2G5028P-CHEM-0073347,2G5028P,,1196782A1,NO,100,98,S1,101,98,101,99,101,98,,,,,,,2.9,101.1,1.2,303.3,<0.05,0,0,0,0,0
